episode,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s
0,720,-149.0,36.06,0.0,0,0.0,1.0,10.8
1,1440,-282.0,30.55,1.15,1,0.036115,0.1096,13.8
2,2160,-157.0,33.06,0.14,2,0.05724,0.05,13.4
3,2880,-17.0,31.01,0.62,1,0.053617,0.05,11.4
4,3600,-157.0,33.97,0.0,0,0.047599,0.05,14.1
5,4320,-162.0,31.14,0.09,0,0.047726,0.05,14.3
6,5040,-159.0,33.82,0.0,1,0.045932,0.05,14.0
7,5760,-269.0,27.27,1.67,2,0.049343,0.05,15.2
8,6480,-268.0,29.22,0.19,2,0.056674,0.05,15.7
9,7200,-8.0,31.73,1.0,1,0.061991,0.05,11.7
10,7920,-244.0,24.81,1.97,3,0.060247,0.05,15.8
11,8640,-289.0,19.57,3.44,3,0.065427,0.05,15.5
12,9360,-282.0,31.48,0.61,1,0.070095,0.05,15.2
13,10080,-252.0,32.54,0.08,3,0.076779,0.05,15.0
14,10800,-9.0,34.57,0.0,0,0.072788,0.05,12.1
15,11520,-152.0,34.23,0.16,0,0.072374,0.05,14.4
16,12240,-250.0,30.08,1.15,1,0.074638,0.05,15.2
17,12960,-162.0,32.04,0.32,2,0.072292,0.05,13.5
18,13680,-148.0,32.29,0.58,1,0.072156,0.05,13.9
19,14400,-288.0,30.01,0.88,2,0.072495,0.05,15.2
20,15120,-235.0,33.92,0.0,2,0.072495,0.05,15.0
21,15840,-221.0,33.07,0.09,3,0.07437,0.05,14.8
22,16560,-245.0,20.52,1.91,1,0.07193,0.05,15.5
23,17280,-222.0,27.7,1.7,3,0.074072,0.05,14.8
24,18000,-150.0,33.69,0.43,0,0.073865,0.05,14.3
25,18720,-247.0,33.72,0.14,1,0.072845,0.05,15.1
26,19440,-212.0,25.93,0.62,3,0.080833,0.05,15.2
27,20160,-13.0,33.37,0.0,1,0.079378,0.05,11.6
28,20880,-223.0,31.63,0.64,6,0.077649,0.05,15.0
29,21600,-237.0,34.95,0.36,1,0.079704,0.05,15.0
30,22320,-253.0,26.63,1.38,2,0.079603,0.05,15.2
31,23040,-13.0,31.21,0.6,1,0.078811,0.05,11.7
32,23760,-20.0,36.9,0.0,3,0.081259,0.05,11.6
33,24480,-236.0,28.86,0.21,3,0.078044,0.05,16.5
