episode,worker_id,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s,had_obstacle,obstacle_edges,obstacle_count,vehicles_teleported,learning_rate
0,0,360,-184.8107,31.4,0.02,781,0.0,0.0,11.1,0,,0,0,0.0
1,0,720,-344.0514,13.89,6.64,2986,0.0,0.0,58.3,0,,0,0,0.0
2,0,1080,-356.9828,15.82,6.42,2777,0.0,0.0,66.8,0,,0,0,0.0
3,0,1440,-328.7847,18.1,3.88,2127,0.0,0.0,50.5,1,"EXT_W_N07_in,SRC_LDT_N_N05,EXT_W_N01_in",3,0,0.0
4,0,1800,-384.6667,11.2,6.47,2677,0.0,0.0,70.4,1,"SRC_NCT_N_N01,SRC_HTM_E_N03",2,0,0.0
5,0,2160,-438.2176,12.82,8.25,2882,0.0,0.0,77.2,1,"SRC_NCT_N_N04,EXT_N_N02_in",2,0,0.0
6,0,2520,-184.8107,31.4,0.02,781,0.0,0.0,15.4,0,,0,0,0.0
7,0,2880,-537.0049,13.7,5.31,2884,0.0,0.0,77.1,1,"SRC_LDT_N_N05,SRC_PH_N06,SRC_LDT_S_N08",3,0,0.0
8,0,3240,-356.9828,15.82,6.42,2777,0.0,0.0,66.4,0,,0,0,0.0
9,0,3600,-187.803,29.05,0.17,733,0.0,0.0,13.9,1,"EXT_N_N01_in,SRC_PH_N06",2,0,0.0
10,0,3960,-240.7977,34.25,0.86,761,0.0,0.0,16.4,1,"SRC_HTM_E_N02,SRC_NCT_S_N04,SRC_HTM_E_N03",3,0,0.0
11,0,4320,-350.2731,15.06,6.34,2569,0.0,0.0,64.0,1,"SRC_NH_N05,EXT_N_N03_in",2,0,0.0
12,0,4680,-1353.719,13.01,24.6,2420,0.0,0.0,67.3,1,"SRC_HTM_E_N02,SRC_THD_N07,SRC_LDT_S_N05",3,0,0.0
13,0,5040,-184.8107,31.4,0.02,781,0.0,0.0,13.9,0,,0,0,0.0
14,0,5400,-356.9828,15.82,6.42,2777,0.0,0.0,68.9,0,,0,0,0.0
