episode,worker_id,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s,had_obstacle,obstacle_edges,obstacle_count,vehicles_teleported,learning_rate
1,0,360,-169.9153,48.48,0.22,756,0.022948,1.0,12.2,1,"SRC_NH_N06,EXT_E_N06_in",2,0,2.5e-05
2,1,360,-143.3192,27.12,2.09,727,0.022948,0.1,14.6,1,"SRC_LDT_S_N08,EXT_N_N03_in,SRC_THD_N07",3,0,5e-05
3,0,360,-146.2556,44.31,0.91,812,0.032121,1.0,17.5,0,,0,0,7.5e-05
4,1,360,-299.307,41.23,1.33,807,0.007651,0.1,20.8,0,,0,0,0.0001
5,0,360,-232.5137,27.02,2.6,753,0.005859,1.0,27.1,1,"SRC_NCT_N_N04,SRC_HTM_W_N01,SRC_PH_N06",3,0,9.98e-05
6,1,360,-108.4006,31.76,0.65,798,0.004558,0.1,22.9,1,SRC_LDT_S_N08,1,0,9.92e-05
7,0,360,-158.2324,38.33,1.14,811,0.003146,1.0,21.7,0,,0,0,9.83e-05
8,1,360,-142.5703,29.77,4.38,808,0.003364,0.1,24.0,1,SRC_NCT_N_N04,1,0,9.7e-05
9,0,360,-144.9194,40.73,0.73,811,0.003084,1.0,21.8,0,,0,0,9.53e-05
10,1,360,-138.8744,32.3,1.39,788,0.004218,0.1,24.6,1,"SRC_PH_N06,SRC_NCT_S_N04",2,0,9.33e-05
11,0,360,-163.0863,37.23,3.67,804,0.003334,1.0,22.7,1,SRC_HTM_E_N03,1,0,9.1e-05
12,1,360,-135.4209,26.17,2.0,785,0.003875,0.1,24.7,0,,0,0,8.83e-05
13,0,360,-170.8683,39.29,0.48,805,0.003382,1.0,23.3,1,"SRC_LDT_S_N08,SRC_NCT_N_N01",2,0,8.54e-05
14,1,360,-139.3099,26.86,4.49,792,0.01302,0.1,24.2,1,SRC_PH_N06,1,0,8.21e-05
15,0,360,-142.5582,44.06,0.6,641,0.007347,1.0,19.4,1,"EXT_E_N03_in,EXT_E_N06_in,SRC_NCT_N_N01",3,0,7.87e-05
16,1,360,-131.9489,23.67,3.75,788,0.00378,0.1,24.5,0,,0,0,7.5e-05
17,0,360,-164.0395,28.85,3.33,803,0.012847,1.0,22.0,1,"SRC_NH_N05,SRC_NCT_S_N04",2,0,7.11e-05
18,1,360,-125.5083,28.88,5.2,804,0.003221,0.1,23.3,0,,0,0,6.71e-05
19,0,360,-158.1104,42.77,1.24,627,0.003528,1.0,18.6,1,"EXT_E_N03_in,EXT_S_N08_in",2,0,6.29e-05
20,1,360,-131.7668,27.44,3.63,792,0.011241,0.1,24.2,0,,0,0,5.87e-05
21,0,360,-1305.952,13.83,149.42,696,0.00635,1.0,32.1,1,"SRC_HTM_E_N03,SRC_HTM_W_N01,SRC_NCT_N_N01",3,0,5.44e-05
22,1,360,-123.6855,33.42,3.08,749,0.020452,0.1,23.4,1,"SRC_HN_N05,EXT_S_N07_in",2,0,5e-05
23,0,360,-166.7352,35.56,2.44,810,0.009911,1.0,22.0,0,,0,0,4.56e-05
24,1,360,-197.783,13.04,5.58,693,0.030986,0.1,27.7,1,"EXT_W_N07_in,SRC_HTM_W_N01,SRC_THD_N07",3,0,4.13e-05
25,0,360,-143.5036,45.65,0.42,810,0.00925,1.0,22.0,0,,0,0,3.71e-05
26,1,360,-136.46,39.38,10.4,685,0.006755,0.1,18.7,1,"EXT_S_N07_in,EXT_E_N03_in,SRC_HTM_E_N02",3,0,3.29e-05
27,0,360,-148.5797,38.99,0.87,816,0.014989,1.0,18.0,0,,0,0,2.89e-05
28,1,360,-132.414,25.54,3.98,792,0.012546,0.1,17.8,1,SRC_NH_N05,1,0,2.5e-05
29,0,360,-151.0066,37.84,1.43,811,0.007233,1.0,16.0,0,,0,0,2.13e-05
30,0,360,-153.5195,37.94,3.33,810,0.020438,1.0,17.8,0,,0,0,1.79e-05
31,1,360,-135.7207,22.81,3.37,782,0.015472,0.1,20.7,0,,0,0,1.46e-05
32,0,360,-137.2414,50.26,0.26,813,0.016009,1.0,21.9,0,,0,0,1.17e-05
33,1,360,-141.4178,25.69,4.8,681,0.003601,0.1,22.7,1,EXT_W_N01_in,1,0,9e-06
34,0,360,-166.6026,38.71,1.02,811,0.005301,1.0,22.3,0,,0,0,6.7e-06
35,1,360,-134.8766,28.46,1.64,705,0.037148,0.1,24.2,1,"SRC_HTM_W_N02,EXT_S_N08_in",2,0,4.7e-06
36,0,360,-175.3055,33.71,5.35,798,0.006067,1.0,20.0,0,,0,0,3e-06
37,1,360,-130.0669,26.07,5.62,799,0.022172,0.1,21.9,0,,0,0,1.7e-06
38,0,360,-156.6787,38.44,3.34,814,0.003826,1.0,21.8,0,,0,0,1e-06
39,1,360,-127.8684,32.8,1.11,793,0.029148,0.1,23.6,0,,0,0,1e-06
40,1,360,-127.4382,24.39,2.24,785,0.010835,0.1,25.9,0,,0,0,1e-06
