episode,worker_id,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s,had_obstacle,obstacle_edges,obstacle_count,vehicles_teleported,learning_rate
1,2,360,-557.3553,8.76,4.99,3963,0.012162,0.7429,71.1,0,,0,0,2e-06
2,0,360,-535.4648,12.22,4.11,3956,0.012252,1.0,82.4,0,,0,0,4e-06
3,1,360,-467.1739,10.02,5.67,3878,0.014844,0.8714,84.2,0,,0,0,6e-06
4,5,360,-671.1937,9.29,7.8,3491,0.007932,0.3571,79.3,1,"EXT_S_N07_in,SRC_NH_N05,SRC_PH_N06",3,0,8e-06
5,3,360,-661.2611,9.02,5.09,3501,0.019843,0.6143,93.8,0,,0,0,1e-05
6,6,360,-470.8967,10.34,3.63,3461,0.022749,0.2286,93.0,0,,0,0,1.2e-05
7,7,360,-859.2157,9.66,1.86,3865,0.024067,0.1,93.7,0,,0,0,1.4e-05
8,4,360,-1766.5819,7.96,44.82,3316,0.015699,0.4857,108.4,1,"SRC_LDT_S_N08,SRC_NCT_N_N04",2,2,1.6e-05
9,7,360,-202.8999,38.61,1.98,796,0.013074,0.1,12.3,1,"SRC_HN_N04,SRC_HTM_E_N03",2,0,1.8e-05
10,2,360,-537.9979,16.22,4.46,3845,0.027725,0.7429,78.4,0,,0,0,2e-05
11,1,360,-361.9557,16.26,4.41,4182,0.014362,0.8714,75.0,0,,0,0,2.2e-05
12,0,360,-743.3449,11.46,6.44,3899,0.01868,1.0,87.0,1,SRC_HN_N05,1,0,2.4e-05
13,3,360,-464.6768,11.13,4.4,4008,0.019821,0.6143,76.5,1,SRC_NCT_N_N04,1,0,2.6e-05
14,5,360,-750.7754,10.38,2.94,3541,0.075792,0.3571,87.0,1,SRC_PH_N06,1,0,2.8e-05
15,7,360,-530.737,15.68,2.33,4183,0.016602,0.1,63.0,1,EXT_E_N03_in,1,0,3e-05
16,6,360,-591.6181,12.6,5.26,4038,0.036281,0.2286,80.2,0,,0,0,3.2e-05
17,4,360,-1492.0164,7.4,39.32,3457,0.012247,0.4857,89.2,1,"SRC_NCT_S_N04,SRC_THD_N07,EXT_N_N01_in",3,0,3.4e-05
18,2,360,-434.0354,15.4,3.26,3918,0.029544,0.7429,76.0,0,,0,0,3.6e-05
19,1,360,-384.2153,14.92,3.91,4159,0.020183,0.8714,88.9,0,,0,0,3.8e-05
20,0,360,-1473.4513,8.86,6.2,3240,0.018055,1.0,95.9,1,"EXT_N_N03_in,SRC_HN_N05,SRC_THD_N08",3,0,4e-05
21,3,360,-367.4389,11.95,3.48,3706,0.016933,0.6143,91.0,0,,0,0,4.2e-05
22,5,360,-480.0934,8.35,4.93,3580,0.015568,0.3571,91.0,0,,0,0,4.4e-05
23,7,360,-700.1514,9.74,6.53,3653,0.017338,0.1,91.5,0,,0,0,4.6e-05
24,6,360,-525.6579,10.51,4.09,3638,0.028323,0.2286,92.9,0,,0,0,4.8e-05
25,4,360,-404.4137,9.42,5.33,3650,0.030271,0.4857,84.6,0,,0,0,5e-05
26,2,360,-517.4394,9.18,4.16,3781,0.024085,0.7429,88.7,0,,0,0,5.2e-05
27,1,360,-684.8129,12.17,10.05,3785,0.026964,0.8714,84.3,1,"SRC_NH_N06,EXT_E_N03_in",2,0,5.4e-05
28,3,360,-624.5736,12.22,4.47,3466,0.024745,0.6143,81.0,1,"SRC_HTM_E_N02,SRC_HTM_W_N02",2,0,5.6e-05
29,5,360,-747.4349,9.68,4.31,3501,0.025805,0.3571,87.9,0,,0,0,5.8e-05
30,0,360,-1599.4194,8.95,16.06,3516,0.023881,1.0,101.6,1,"SRC_THD_N08,SRC_HN_N05",2,0,6e-05
31,7,360,-1128.868,7.4,14.67,3000,0.022531,0.1,96.0,1,"SRC_LDT_N_N05,SRC_HTM_E_N03,SRC_NCT_N_N01",3,0,6.2e-05
32,6,360,-602.7008,9.2,5.49,3437,0.072427,0.2286,93.7,0,,0,0,6.4e-05
33,4,360,-484.8458,10.65,4.95,3599,0.016874,0.4857,85.8,0,,0,0,6.6e-05
34,2,360,-410.16,14.37,3.72,3862,0.019294,0.7429,82.8,0,,0,0,6.8e-05
35,4,360,-410.2763,16.65,2.21,3575,0.016628,0.4857,55.3,1,"EXT_W_N01_in,SRC_HTM_E_N02",2,0,7e-05
36,3,360,-719.8152,11.76,3.19,3468,0.059162,0.6143,91.5,0,,0,0,7.2e-05
37,4,360,-199.455,40.96,1.38,681,0.01708,0.4857,10.5,1,"EXT_E_N03_in,SRC_NCT_S_N07,SRC_HTM_W_N01",3,0,7.4e-05
38,5,360,-372.7252,11.91,4.63,3566,0.061919,0.3571,89.8,0,,0,0,7.6e-05
39,1,360,-1713.3818,7.21,18.52,3243,0.01935,0.8714,112.9,1,"SRC_LDT_N_N02,SRC_THD_N07",2,0,7.8e-05
40,0,360,-872.0785,8.48,6.95,3569,0.021953,1.0,92.7,1,"SRC_NH_N05,SRC_HTM_W_N01",2,0,8e-05
41,6,360,-505.1654,8.44,3.35,3407,0.027181,0.2286,91.7,0,,0,0,8.2e-05
42,7,360,-582.1086,10.07,2.74,3349,0.024673,0.1,97.9,0,,0,0,8.4e-05
43,2,360,-550.9665,12.11,4.47,3877,0.025304,0.7429,78.9,0,,0,0,8.6e-05
44,4,360,-336.6856,10.33,5.64,3472,0.115463,0.4857,72.0,1,EXT_W_N01_in,1,0,8.8e-05
45,1,360,-448.5388,13.77,2.16,3953,0.021161,0.8714,79.0,0,,0,0,9e-05
46,3,360,-1002.7767,10.34,9.99,2985,0.015014,0.6143,86.9,1,"SRC_HN_N05,EXT_E_N06_in",2,0,9.2e-05
47,0,360,-852.7994,13.36,15.79,3591,0.014132,1.0,70.5,1,"SRC_PH_N06,SRC_HTM_W_N02",2,0,9.4e-05
48,5,360,-541.1117,11.47,2.3,3174,0.021536,0.3571,84.9,1,"SRC_HN_N05,EXT_W_N07_in,EXT_S_N07_in",3,0,9.6e-05
49,6,360,-608.2693,8.97,3.76,3397,0.017761,0.2286,96.8,0,,0,0,9.8e-05
50,7,360,-776.6905,8.36,3.49,3297,0.014518,0.1,102.9,0,,0,0,0.0001
51,2,360,-460.4385,10.85,4.26,3743,0.097082,0.7429,92.8,0,,0,0,0.0001
52,1,360,-381.7884,12.41,5.45,4024,0.020917,0.8714,72.9,0,,0,0,0.0001
53,4,360,-487.547,11.9,2.56,3379,0.017884,0.4857,85.0,1,EXT_W_N07_in,1,0,0.0001
