episode,worker_id,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s,had_obstacle,obstacle_edges,obstacle_count,vehicles_teleported,learning_rate
1,2,360,-408.0463,19.15,1.45,4241,0.014471,0.55,156.7,1,EXT_W_N01_in,1,0,1e-05
2,1,360,-686.774,14.02,6.36,3466,0.027342,0.775,184.8,1,"EXT_N_N03_in,SRC_HN_N04,SRC_HTM_W_N02",3,0,1e-05
3,0,360,-488.3906,15.98,3.27,4141,0.022169,1.0,223.0,0,,0,0,1e-05
4,3,360,-706.7081,10.46,2.57,4022,0.027535,0.325,218.0,1,"SRC_LDT_N_N05,EXT_N_N02_in",2,0,1e-05
5,4,360,-543.0004,8.35,7.09,3051,0.048654,0.1,239.6,1,EXT_N_N03_in,1,0,1e-05
6,1,360,-333.9171,13.34,2.84,3982,0.069627,0.775,203.1,0,,0,0,1.2e-05
7,2,360,-556.3731,12.96,2.81,3681,0.059651,0.55,230.0,0,,0,0,1.4e-05
8,0,360,-620.3825,14.17,4.26,3905,0.061226,1.0,228.2,0,,0,0,1.6e-05
9,3,360,-480.7486,10.89,2.08,3598,0.060081,0.325,233.3,0,,0,0,1.8e-05
10,4,360,-621.9691,9.9,3.29,3315,0.067778,0.1,249.4,0,,0,0,2e-05
11,4,360,-157.1953,38.59,2.96,807,0.076852,0.1,19.0,0,,0,0,2.2e-05
12,4,360,-200.495,31.47,2.82,806,0.064571,0.1,20.1,1,SRC_PH_N03,1,0,2.4e-05
13,1,360,-407.2366,14.79,5.62,3698,0.105366,0.775,202.5,1,EXT_S_N07_in,1,0,2.6e-05
14,2,360,-1009.7262,9.12,5.96,3358,0.077757,0.55,246.0,1,"SRC_NH_N06,SRC_HTM_E_N02",2,0,2.8e-05
15,0,360,-397.0088,12.79,6.93,4032,0.084744,1.0,210.1,0,,0,0,3e-05
16,3,360,-738.5469,9.1,6.37,3140,0.068574,0.325,206.2,1,"SRC_NCT_N_N04,EXT_W_N07_in,SRC_HTM_E_N03",3,0,3.2e-05
17,3,360,-189.8956,23.37,2.91,732,0.087305,0.325,20.9,1,"SRC_HN_N04,EXT_S_N07_in,SRC_HTM_E_N02",3,0,3.4e-05
18,3,360,-152.9884,43.36,0.79,808,0.076776,0.325,17.2,0,,0,0,3.6e-05
19,4,360,-1190.5815,7.5,5.82,2691,0.075463,0.1,263.6,1,"EXT_W_N07_in,SRC_HTM_W_N01,SRC_NCT_S_N07",3,0,3.8e-05
20,1,360,-569.2559,13.36,4.38,3774,0.091826,0.775,217.8,0,,0,0,4e-05
21,2,360,-578.452,11.3,7.18,3650,0.142868,0.55,228.0,0,,0,0,4.2e-05
22,0,360,-443.1544,14.08,6.37,4130,0.154672,1.0,209.1,0,,0,0,4.4e-05
23,3,360,-1040.2178,9.57,3.46,3270,0.072436,0.325,263.4,1,"SRC_THD_N07,SRC_NH_N05",2,0,4.6e-05
24,1,360,-339.0748,16.39,1.9,3708,0.120437,0.775,169.5,1,EXT_W_N01_in,1,0,4.8e-05
25,4,360,-367.7912,10.15,2.36,3379,0.106202,0.1,222.3,0,,0,0,5e-05
26,0,360,-460.5213,17.43,3.34,4084,0.09311,1.0,195.0,0,,0,0,5.2e-05
27,2,360,-1250.0968,8.35,8.97,3125,0.122886,0.55,259.7,1,SRC_PH_N03,1,0,5.4e-05
28,3,360,-607.0048,11.08,2.31,3435,0.174206,0.325,226.2,0,,0,0,5.6e-05
29,4,360,-358.2656,13.55,4.3,2869,0.118946,0.1,171.5,1,"EXT_W_N07_in,EXT_E_N06_in,SRC_HTM_W_N02",3,0,5.8e-05
30,3,360,-157.3078,43.05,1.61,806,0.101614,0.325,17.8,0,,0,0,6e-05
31,1,360,-621.7508,10.3,4.19,3679,0.120854,0.775,237.9,0,,0,0,6.2e-05
32,0,360,-496.6598,12.9,5.31,4186,0.114696,1.0,197.2,0,,0,0,6.4e-05
33,2,360,-566.2006,11.03,3.66,3576,0.127518,0.55,222.5,1,SRC_NH_N06,1,0,6.6e-05
34,3,360,-346.1285,11.1,4.27,3562,0.176546,0.325,226.8,0,,0,0,6.8e-05
35,1,360,-478.7002,11.31,5.01,3746,0.169053,0.775,233.9,0,,0,0,7e-05
36,4,360,-872.108,6.98,3.7,3160,0.13553,0.1,253.4,0,,0,0,7.2e-05
37,0,360,-521.0736,13.26,6.21,4044,0.143583,1.0,200.9,0,,0,0,7.4e-05
38,2,360,-909.7479,11.89,6.43,3269,0.133354,0.55,198.8,1,"SRC_LDT_N_N02,EXT_W_N01_in",2,0,7.6e-05
39,3,360,-571.7898,8.26,5.68,3124,0.220937,0.325,225.0,1,EXT_N_N03_in,1,0,7.8e-05
40,4,360,-810.202,9.16,13.59,2909,0.116971,0.1,226.1,1,"EXT_N_N03_in,SRC_LDT_N_N05",2,0,8e-05
41,1,360,-1521.3323,13.09,4.03,3481,0.223027,0.775,231.7,1,"SRC_HN_N05,SRC_HTM_W_N02",2,0,8.2e-05
42,0,360,-468.8698,14.66,4.01,4030,0.139255,1.0,227.9,0,,0,0,8.4e-05
43,2,360,-474.7116,10.45,3.6,3710,0.1202,0.55,230.1,0,,0,0,8.6e-05
44,0,360,-394.1858,13.88,3.66,4099,0.099786,1.0,200.4,0,,0,0,8.8e-05
45,3,360,-558.4739,10.76,2.93,3494,0.181725,0.325,239.8,0,,0,0,9e-05
46,0,360,-158.6223,39.08,1.72,752,0.141419,1.0,16.7,1,EXT_W_N07_in,1,0,9.2e-05
47,4,360,-360.2267,9.45,3.78,3541,0.172451,0.1,240.0,0,,0,0,9.4e-05
48,1,360,-788.2737,10.56,8.64,3643,0.092217,0.775,244.4,1,SRC_PH_N03,1,0,9.6e-05
