episode,worker_id,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s,had_obstacle,obstacle_edges,obstacle_count,vehicles_teleported,learning_rate
0,0,360,-869.6111,13.15,6.55,3484,0.0,0.0,115.1,0,,0,0,0.0
1,0,720,-869.6111,13.15,6.55,3484,0.0,0.0,122.0,0,,0,0,0.0
2,0,1080,-869.6111,13.15,6.55,3484,0.0,0.0,123.0,0,,0,0,0.0
3,0,1440,-970.0954,13.16,5.8,3763,0.0,0.0,118.7,0,,0,0,0.0
4,0,1800,-438.7708,27.07,0.6,1215,0.0,0.0,27.4,1,"SRC_V6_N06,SRC_R2_AB_N11",2,0,0.0
5,0,2160,-358.0138,27.15,0.13,1245,0.0,0.0,25.3,0,,0,0,0.0
6,0,2520,-936.0054,13.83,7.35,3426,0.0,0.0,123.5,1,SRC_RM_BC_N09,1,0,0.0
7,0,2880,-1294.1868,14.74,9.72,3226,0.0,0.0,128.5,1,SRC_R1_CD_N03,1,0,0.0
8,0,3240,-869.6111,13.15,6.55,3484,0.0,0.0,127.7,0,,0,0,0.0
9,0,3600,-448.5667,29.95,0.65,1231,0.0,0.0,27.3,1,"SRC_R1_CD_N03,SRC_R1_EF_N06",2,0,0.0
10,0,3960,-358.0138,27.15,0.13,1245,0.0,0.0,26.0,0,,0,0,0.0
11,0,4320,-970.0954,13.16,5.8,3763,0.0,0.0,118.1,0,,0,0,0.0
12,0,4680,-869.6111,13.15,6.55,3484,0.0,0.0,124.2,0,,0,0,0.0
13,0,5040,-1175.6477,13.61,7.14,3315,0.0,0.0,120.8,1,"SRC_R1_BC_N03,SRC_R1_EF_N05,SRC_V6_N06",3,0,0.0
14,0,5400,-955.7073,16.04,4.41,3149,0.0,0.0,113.5,1,"SRC_V2_N12,EXT_W_N11_in,SRC_V5S_N15",3,0,0.0
15,0,5760,-869.6111,13.15,6.55,3484,0.0,0.0,123.8,0,,0,0,0.0
16,0,6120,-869.6111,13.15,6.55,3484,0.0,0.0,124.2,0,,0,0,0.0
17,0,6480,-358.0138,27.15,0.13,1245,0.0,0.0,25.7,0,,0,0,0.0
18,0,6840,-442.2674,27.62,0.91,1107,0.0,0.0,26.0,1,"SRC_R2_BC_N13,EXT_E_N10_in,SRC_R2_DE_N15",3,0,0.0
19,0,7200,-358.0138,27.15,0.13,1245,0.0,0.0,25.6,0,,0,0,0.0
20,0,7560,-920.0389,13.85,7.07,3602,0.0,0.0,123.8,1,"SRC_RM_BC_N09,SRC_V5N_N09",2,0,0.0
21,0,7920,-970.0954,13.16,5.8,3763,0.0,0.0,118.7,0,,0,0,0.0
22,0,8280,-970.0954,13.16,5.8,3763,0.0,0.0,91.2,0,,0,0,0.0
23,0,8640,-362.8499,26.25,0.28,1210,0.0,0.0,21.3,1,EXT_N_N05_in,1,0,0.0
24,0,9000,-1025.4362,14.03,7.11,3106,0.0,0.0,89.0,1,"SRC_R2_AB_N12,EXT_N_N05_in",2,0,0.0
25,0,9360,-358.0138,27.15,0.13,1245,0.0,0.0,26.9,0,,0,0,0.0
26,0,9720,-970.0954,13.16,5.8,3763,0.0,0.0,123.6,0,,0,0,0.0
27,0,10080,-970.0954,13.16,5.8,3763,0.0,0.0,123.5,0,,0,0,0.0
28,0,10440,-869.6111,13.15,6.55,3484,0.0,0.0,126.0,0,,0,0,0.0
29,0,10800,-1284.4376,10.8,17.24,3215,0.0,0.0,135.1,1,"SRC_RM_AB_N08,SRC_R2_AB_N11",2,0,0.0
30,0,11160,-892.4803,14.32,5.96,3398,0.0,0.0,125.8,1,SRC_V5N_N09,1,0,0.0
31,0,11520,-358.0138,27.15,0.13,1245,0.0,0.0,28.2,0,,0,0,0.0
32,0,11880,-970.0954,13.16,5.8,3763,0.0,0.0,126.9,0,,0,0,0.0
33,0,12240,-970.0954,13.16,5.8,3763,0.0,0.0,133.5,0,,0,0,0.0
34,0,12600,-970.0954,13.16,5.8,3763,0.0,0.0,193.5,0,,0,0,0.0
35,0,12960,-949.4401,13.87,5.57,3249,0.0,0.0,156.9,1,"SRC_V3N_N07,EXT_E_N10_in",2,0,0.0
36,0,13320,-358.0138,27.15,0.13,1245,0.0,0.0,28.3,0,,0,0,0.0
37,0,13680,-970.0954,13.16,5.8,3763,0.0,0.0,157.6,0,,0,0,0.0
38,0,14040,-358.0138,27.15,0.13,1245,0.0,0.0,43.4,0,,0,0,0.0
39,0,14400,-869.6111,13.15,6.55,3484,0.0,0.0,204.3,0,,0,0,0.0
40,0,14760,-364.1252,26.18,0.17,1132,0.0,0.0,41.1,1,"EXT_S_N13_in,EXT_N_N03_in",2,0,0.0
41,0,15120,-1272.8134,10.14,10.77,3035,0.0,0.0,214.7,1,"SRC_R1_AB_N02,SRC_V4S_N14,SRC_V3N_N07",3,0,0.0
42,0,15480,-401.0577,27.07,0.33,1236,0.0,0.0,43.3,1,SRC_V6_N10,1,0,0.0
43,0,15840,-1045.782,12.63,6.68,3486,0.0,0.0,181.3,1,"SRC_V6_N06,EXT_N_N05_in",2,0,0.0
44,0,16200,-358.0138,27.15,0.13,1245,0.0,0.0,42.6,0,,0,0,0.0
45,0,16560,-869.6111,13.15,6.55,3484,0.0,0.0,202.1,0,,0,0,0.0
46,0,16920,-869.6111,13.15,6.55,3484,0.0,0.0,203.6,0,,0,0,0.0
47,0,17280,-358.0138,27.15,0.13,1245,0.0,0.0,42.9,0,,0,0,0.0
48,0,17640,-970.0954,13.16,5.8,3763,0.0,0.0,198.4,0,,0,0,0.0
49,0,18000,-358.0138,27.15,0.13,1245,0.0,0.0,42.5,0,,0,0,0.0
