# finetune_from: checkpoints/final/gat_marl_mydinh_best.pt
# topology: uet
episode,worker_id,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s,had_obstacle,obstacle_edges,obstacle_count,vehicles_teleported,learning_rate
1,0,360,-336.5061,41.15,1.96,1241,0.021878,1.0,25.6,0,,0,0,5e-06
2,3,360,-944.5423,39.85,3.46,1224,0.014466,0.1,23.1,0,,0,0,1e-05
3,1,360,-941.7642,12.71,8.35,2852,0.02108,0.7,127.2,0,,0,0,1.5e-05
4,2,360,-708.0133,13.4,5.57,2564,0.025851,0.4,125.6,0,,0,0,2e-05
5,0,360,-999.1308,12.04,8.68,2904,0.021566,1.0,133.0,0,,0,0,2.5e-05
6,2,360,-338.0157,32.52,2.44,1209,0.021993,0.4,30.5,1,"SRC_V5S_N09,SRC_R1_CD_N03,SRC_V3N_N07",3,0,3e-05
7,3,360,-1103.1581,9.78,8.51,2127,0.062163,0.1,145.5,1,"SRC_R2_AB_N12,SRC_V4S_N14",2,0,3.5e-05
8,1,360,-699.2031,14.26,5.46,2373,0.029984,0.7,138.6,1,EXT_N_N05_in,1,0,4e-05
9,0,360,-875.4545,12.79,6.91,2888,0.042064,1.0,136.3,0,,0,0,4.5e-05
10,2,360,-755.4677,10.22,6.04,2150,0.031125,0.4,143.0,0,,0,0,5e-05
11,0,360,-335.9554,38.88,3.39,1251,0.037089,1.0,28.5,0,,0,0,5.5e-05
12,3,360,-806.0539,9.26,5.89,2042,0.038375,0.1,146.8,0,,0,0,6e-05
13,2,360,-288.2915,33.45,3.31,1216,0.031693,0.4,31.4,0,,0,0,6.5e-05
14,1,360,-701.3611,13.13,4.9,2538,0.01743,0.7,143.2,0,,0,0,7e-05
15,2,360,-883.4186,12.32,7.52,2549,0.080056,0.4,132.9,1,"SRC_V1_N01,EXT_E_N10_in",2,0,7.5e-05
16,0,360,-871.9377,14.34,6.18,2719,0.06401,1.0,150.5,0,,0,0,8e-05
17,3,360,-841.8516,10.31,7.64,2005,0.057936,0.1,150.6,0,,0,0,8.5e-05
18,2,360,-286.9549,33.76,1.57,1161,0.033544,0.4,28.4,1,EXT_E_N06_in,1,0,9e-05
19,0,360,-306.5221,40.99,1.17,1254,0.028308,1.0,28.7,0,,0,0,9.5e-05
20,3,360,-292.2727,28.08,2.31,1193,0.032104,0.1,33.6,0,,0,0,0.0001
21,2,360,-281.4312,37.09,2.64,1226,0.026717,0.4,32.0,0,,0,0,0.0001
22,0,360,-316.7385,39.8,0.57,1236,0.02424,1.0,29.7,0,,0,0,0.0001
