episode,worker_id,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s,had_obstacle,obstacle_edges,obstacle_count,vehicles_teleported,learning_rate
1,1,360,-604.3878,17.36,4.0,4727,0.01427,0.775,279.4,0,,0,0,2e-06
2,3,360,-835.1059,14.18,4.63,5207,0.015834,0.325,276.1,0,,0,0,4e-06
3,4,360,-1018.9126,16.03,2.57,5313,0.019533,0.1,284.3,0,,0,0,6e-06
4,0,360,-602.6217,18.31,4.62,4527,0.019875,1.0,292.6,0,,0,0,8e-06
5,2,360,-734.6001,15.13,3.57,4741,0.018446,0.55,318.2,0,,0,0,1e-05
6,0,360,-323.6638,37.78,1.24,1241,0.019873,1.0,41.7,1,"SRC_RM_AB_N08,SRC_R1_CD_N03",2,0,1.2e-05
7,1,360,-536.4503,14.75,4.41,4231,0.022737,0.775,284.2,0,,0,0,1.4e-05
8,1,360,-278.3659,42.09,1.05,1253,0.02574,0.775,37.7,1,SRC_V5N_N05,1,0,1.6e-05
9,4,360,-584.1269,14.08,4.15,3601,0.029136,0.1,315.6,0,,0,0,1.8e-05
10,2,360,-719.2971,13.48,5.61,3656,0.026307,0.55,313.3,1,"SRC_V4S_N14,EXT_S_N13_in",2,0,2e-05
11,0,360,-625.3875,16.29,5.94,4408,0.032473,1.0,300.9,0,,0,0,2.2e-05
12,3,360,-960.7019,9.6,7.34,3430,0.023963,0.325,355.0,1,"SRC_V1_N11,SRC_V4S_N14,SRC_V5N_N09",3,0,2.4e-05
13,1,360,-505.9949,17.5,3.57,4291,0.027303,0.775,288.3,0,,0,0,2.6e-05
14,4,360,-543.1887,14.41,3.72,3731,0.030497,0.1,296.1,0,,0,0,2.8e-05
15,0,360,-621.5481,16.02,3.99,4319,0.02744,1.0,301.1,0,,0,0,3e-05
16,3,360,-643.6598,14.36,3.51,3759,0.029563,0.325,316.5,0,,0,0,3.2e-05
17,2,360,-1099.9753,14.6,3.68,3781,0.030694,0.55,333.2,1,SRC_V4S_N14,1,0,3.4e-05
18,1,360,-709.6014,13.25,4.8,4150,0.034489,0.775,303.8,1,"SRC_R2_CD_N13,EXT_N_N05_in,SRC_R2_BC_N13",3,0,3.6e-05
19,4,360,-554.0845,12.24,2.93,3171,0.053214,0.1,319.7,1,"EXT_S_N13_in,SRC_V6_N10,SRC_R1_CD_N04",3,0,3.8e-05
